openaq_location_id,station_name,urban_ward_code,input_start,input_end,forecast_start,forecast_end,input_coverage_pct,target_coverage_pct
6945,"Kurla, Mumbai - MPCB",L,2025-10-11 00:00:00+05:30,2025-12-09 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-16 00:00:00+05:30,96.66666666666666,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-12 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-11 00:00:00+05:30,2025-12-17 00:00:00+05:30,96.66666666666666,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-13 00:00:00+05:30,2025-12-11 00:00:00+05:30,2025-12-12 00:00:00+05:30,2025-12-18 00:00:00+05:30,98.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-14 00:00:00+05:30,2025-12-12 00:00:00+05:30,2025-12-13 00:00:00+05:30,2025-12-19 00:00:00+05:30,98.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-25 00:00:00+05:30,2025-12-23 00:00:00+05:30,2025-12-24 00:00:00+05:30,2025-12-30 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-26 00:00:00+05:30,2025-12-24 00:00:00+05:30,2025-12-25 00:00:00+05:30,2025-12-31 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-27 00:00:00+05:30,2025-12-25 00:00:00+05:30,2025-12-26 00:00:00+05:30,2026-01-01 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-28 00:00:00+05:30,2025-12-26 00:00:00+05:30,2025-12-27 00:00:00+05:30,2026-01-02 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-29 00:00:00+05:30,2025-12-27 00:00:00+05:30,2025-12-28 00:00:00+05:30,2026-01-03 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-30 00:00:00+05:30,2025-12-28 00:00:00+05:30,2025-12-29 00:00:00+05:30,2026-01-04 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-10-31 00:00:00+05:30,2025-12-29 00:00:00+05:30,2025-12-30 00:00:00+05:30,2026-01-05 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-11-01 00:00:00+05:30,2025-12-30 00:00:00+05:30,2025-12-31 00:00:00+05:30,2026-01-06 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-11-02 00:00:00+05:30,2025-12-31 00:00:00+05:30,2026-01-01 00:00:00+05:30,2026-01-07 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-11-03 00:00:00+05:30,2026-01-01 00:00:00+05:30,2026-01-02 00:00:00+05:30,2026-01-08 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-11-04 00:00:00+05:30,2026-01-02 00:00:00+05:30,2026-01-03 00:00:00+05:30,2026-01-09 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2025-11-05 00:00:00+05:30,2026-01-03 00:00:00+05:30,2026-01-04 00:00:00+05:30,2026-01-10 00:00:00+05:30,93.33333333333333,100.0
6945,"Kurla, Mumbai - MPCB",L,2026-01-14 00:00:00+05:30,2026-03-14 00:00:00+05:30,2026-03-15 00:00:00+05:30,2026-03-21 00:00:00+05:30,80.0,100.0
6945,"Kurla, Mumbai - MPCB",L,2026-01-15 00:00:00+05:30,2026-03-15 00:00:00+05:30,2026-03-16 00:00:00+05:30,2026-03-22 00:00:00+05:30,81.66666666666667,100.0
6945,"Kurla, Mumbai - MPCB",L,2026-01-16 00:00:00+05:30,2026-03-16 00:00:00+05:30,2026-03-17 00:00:00+05:30,2026-03-23 00:00:00+05:30,83.33333333333334,100.0
